,TCONST,TITLE,YEAR,BECHDEL,SCORES,VOTES,BUDGETS,RELEASED_DAY,RELEASED_MON,RELEASED_YEAR,COUNTRY,WINNER
203,tt0040338,the fallen idol,1948,0,7.8,7034,888000,25,10,1948,UK,0
204,tt0040366,force of evil,1948,0,7.3,5158,666000,25,12,1948,USA,0
205,tt0041090,adam's rib,1949,0,7.6,18022,1728000,18,11,1949,USA,0
206,tt0042040,whisky galore!,1949,0,7.2,4526,920000,25,12,1949,USA,0
207,tt0041996,twelve o'clock high,1949,0,7.7,11520,1450000,13,2,1950,Brazil,0
208,tt0041154,late spring,1949,1,8.3,12258,140,21,7,1972,USA,0
209,tt0041452,the heiress,1949,0,8.2,12024,2600000,28,12,1949,USA,0
210,tt0041546,kind hearts and coronets,1949,1,8.1,32126,680000,14,6,1950,USA,0
211,tt0042041,white heat,1949,0,8.2,24754,1300000,3,9,1949,USA,0
212,tt0041716,on the town,1949,1,7.6,14732,2111250,30,12,1949,USA,0
213,tt0041959,the third man,1949,0,8.2,146386,390000,12,10,1949,France,0
214,tt0042876,rashômon,1950,0,8.3,136868,250000,26,12,1951,USA,0
215,tt0042208,the asphalt jungle,1950,0,7.9,21900,1232000,1,6,1950,USA,0
216,tt0042593,in a lonely place,1950,1,8,22676,310000,17,5,1950,USA,0
217,tt0043137,winchester '73,1950,0,7.7,15262,400000,12,7,1950,USA,0
218,tt0042530,gun crazy,1950,0,7.7,10285,400000,20,1,1950,USA,0
219,tt0042276,born yesterday,1950,1,7.6,9147,110000,25,12,1950,USA,0
220,tt0041719,orpheus,1950,1,8,9241,410000,29,11,1950,USA,0
221,tt0043014,sunset boulevard,1950,0,8.4,181610,1752000,29,9,1950,Australia,0
222,tt0042804,los olvidados,1950,0,8.3,16293,23092,24,3,1952,USA,0
223,tt0044829,the lavender hill mob,1951,0,7.7,11532,290000,10,9,1951,Sweden,0
224,tt0043972,the river,1951,1,7.6,5085,1100000,19,12,1951,France,0
225,tt0043456,the day the earth stood still,1951,0,7.8,72627,1200000,25,12,1951,Brazil,0
226,tt0043338,ace in the hole,1951,1,8.2,24741,1800000,4,7,1951,USA,0
227,tt0042619,diary of a country priest,1951,1,8,8516,690000,5,4,1954,USA,0
228,tt0043265,the african queen,1951,0,7.8,66787,1000000,21,3,1952,USA,0
229,tt0044081,a streetcar named desire,1951,1,8,92180,1800000,1,12,1951,West,0
230,tt0044079,strangers on a train,1951,1,8,115033,1200000,30,6,1951,USA,0
231,tt0043924,a place in the sun,1951,0,7.8,18253,2295304,11,10,1951,France,0
232,tt0043686,forbidden games,1952,1,8,10067,180000,8,12,1952,USA,0
233,tt0045152,singin' in the rain,1952,0,8.3,199327,2540800,11,4,1952,USA,0
234,tt0044741,ikiru,1952,1,8.3,59284,40000,25,3,1956,USA,0
235,tt0043511,europa '51,1952,0,7.6,2794,240000,3,11,1954,USA,0
236,tt0044487,the golden coach,1952,0,7.2,2336,900000,5,1,1954,USA,0
237,tt0044391,the bad and the beautiful,1952,0,7.9,11792,1558000,9,2,1953,Brazil,0
238,tt0045274,umberto d.,1952,0,8.2,20365,5000000,7,11,1955,USA,0
239,tt0044837,limelight,1952,1,8.1,16292,900000,31,10,1952,France,0
240,tt0044706,high noon,1952,1,8,90978,730000,30,7,1952,USA,0
241,tt0045061,the quiet man,1952,0,7.8,32061,1750000,14,9,1952,USA,0
242,tt0046438,tokyo story,1953,1,8.2,44463,720000,13,3,1972,USA,0
243,tt0046478,ugetsu,1953,1,8.2,18124,165000,7,9,1954,USA,0
244,tt0046268,the wages of fear,1953,0,8.1,48725,2600000,16,2,1955,USA,0
245,tt0046303,shane,1953,1,7.6,33789,3100000,1,10,1953,France,0
246,tt0046250,roman holiday,1953,1,8,118308,1500000,2,9,1953,USA,0
247,tt0045537,the band wagon,1953,0,7.5,9091,2169120,7,8,1953,USA,0
248,tt0045555,the big heat,1953,0,8,20965,1350000,6,12,1953,Japan,0
249,tt0046487,monsieur hulot's holiday,1953,0,7.5,15215,999000,16,6,1954,USA,0
250,tt0046022,the earrings of madame de...,1953,0,8,7984,540000,19,7,1954,USA,0
251,tt0047396,rear window,1954,1,8.5,403404,1000000,4,8,1954,USA,0
252,tt0047445,sansho the bailiff,1954,0,8.4,12692,1260000,31,3,1954,Japan,0
253,tt0047528,la strada,1954,0,8,53484,841000,16,7,1956,USA,0
254,tt0047522,a star is born,1954,1,7.7,14176,5019770,16,10,1954,USA,0
255,tt0046828,carmen jones,1954,1,6.9,4096,750000,28,10,1954,USA,0
256,tt0047469,senso,1954,0,7.6,5443,4120000,8,7,1968,USA,0
257,tt0047136,johnny guitar,1954,1,7.7,13983,999999,23,8,1954,USA,0
258,tt0047478,seven samurai,1954,0,8.7,287206,2000000,19,11,1956,USA,0
